endpoint_tested_here,metric_category,source_target,input,quantity,calculation_level,aggregation,source_selected_or_defined,matches_source_patient_construction,source_formula,n_patients,n_values,values_per_patient,responder_median,nonresponder_median,responder_higher_auc,separation_auc,responder_direction,raw_p,holm_adjusted_p,adjustment_family,significant_after_holm_0_05,permutations,seed
sustained,individual qEEG feature,response,PRE awake,beta Shannon entropy,patient-based,mean of two awake clips,False,False,,50,50,1,5.826099028892608,5.771762974186151,0.5438311688311688,0.5438311688311688,higher,0.6073293926706074,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE awake,delta PLI connectivity,patient-based,mean of two awake clips,True,True,,50,50,1,5.847953259944916,12.426900491118433,0.3425324675324675,0.6574675324675325,lower,0.0567649432350567,0.965004034995965,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE sleep,beta DFA intercept,patient-based,mean of two sleep clips,False,False,,50,50,1,-0.0913133881434705,0.171402187167294,0.3847402597402597,0.6152597402597403,lower,0.1698348301651698,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE sleep,beta Shannon entropy,patient-based,mean of two sleep clips,False,False,,50,50,1,5.409316511983233,5.251034345600025,0.6363636363636364,0.6363636363636364,higher,0.1024518975481024,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,individual qEEG feature,response,PRE sleep,delta PLI connectivity,patient-based,mean of two sleep clips,False,False,,50,50,1,4.239766113460064,10.380117036402224,0.3563311688311688,0.6436688311688312,lower,0.0845129154870845,1.0,24 individual-feature tests within endpoint,False,1000000,20260913
sustained,published EEG response score,sustained response,POST awake + POST sleep,R1,patient-based,mean of two POST awake and two POST sleep clips,True,True,4.765*POST-sleep entropy - 7.786*POST-awake DFA,50,50,1,31.77656536180283,26.936423558194996,0.9237012987012987,0.9237012987012987,higher,9.99999000001e-07,1.5999984000016e-05,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published EEG response score,sustained response,PRE awake,R0,patient-based,mean of two PRE awake clips,True,True,-2.361*PRE-awake DFA - 0.051*PRE-awake PLI,50,50,1,0.17413507154144492,-0.8413066127521069,0.7467532467532467,0.7467532467532467,higher,0.002626997373002627,0.021015978984021015,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published duration-adjusted response probability,sustained response,POST awake + POST sleep,P1,patient-based,mean of two POST awake and two POST sleep clips,True,True,sigmoid(-37.433 - 0.571*duration + 4.765*entropy - 7.781*DFA),50,50,1,0.001275428936300986,4.047495475452746e-06,0.939935064935065,0.939935064935065,higher,9.99999000001e-07,1.5999984000016e-05,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published duration-adjusted response probability,sustained response,PRE awake,P0,patient-based,mean of two PRE awake clips,True,True,sigmoid(2.010 - 0.455*duration + R0),50,50,1,0.677203575638877,0.39741283330631616,0.7840909090909091,0.7840909090909091,higher,0.00045999954000046,0.0041399958600041396,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake DFA,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,-0.22369807110426887,-0.1488405860328053,0.41883116883116883,0.5811688311688312,lower,0.33755866244133753,1.0,16 paper-derived tests within endpoint,False,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST awake,POST - PRE awake PLI,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,7.163742557168007,2.1929822862148285,0.5689935064935064,0.5689935064935064,higher,0.41249158750841247,1.0,16 paper-derived tests within endpoint,False,1000000,20260915
sustained,published interval-change analysis,sustained response,PRE + POST sleep,POST - PRE sleep entropy,patient-based,difference between patient-level study means,True,True,POST feature - PRE feature,50,50,1,0.5696539384425017,0.08298185110852074,0.7256493506493507,0.7256493506493507,higher,0.006060993939006061,0.030304969695030305,16 paper-derived tests within endpoint,True,1000000,20260915
sustained,published relapse metric,relapse time among immediate responders,POST awake + POST sleep,rho,patient-based,mean of two POST awake and two POST sleep clips,True,True,4.008*POST-awake DFA - 1.661*POST-sleep entropy,50,50,1,-11.561669979196914,-9.561531475862772,0.09090909090909091,0.9090909090909091,lower,1.999998000002e-06,2.1999978000022002e-05,16 paper-derived tests within endpoint,True,1000000,20260915
